"Year/Month","전국","수도권","지방","서울","(서울)도심권","(서울)동북권","(서울)서북권","(서울)서남권","(서울)동남권","부산","금리"
"2014년 06월","298.9","389.9","228","567.6","660.1","450.4","502.1","497.5","863.5","271.7","2.5"
"2014년 07월","310.2","402.9","230.4","583","662.6","452.9","518.1","498.4","866.2","277.3","2.5"
"2014년 08월","327.5","408.6","234.9","593.3","673.7","463.7","531.1","505","872.3","280.4","2.25"
"2014년 09월","325","409","236.8","583","659.1","460","520.8","516.6","869.2","280.9","2.25"
"2014년 10월","314.4","402.4","238.6","580.3","670.9","467.6","532.7","502.8","861.3","281.3","2.00"
"2014년 11월","311","398.7","238.7","567.6","653.1","473.1","528.7","499.2","836.1","282.8","2.00"
"2014년 12월","320.9","415.3","239.2","589.2","675.5","476.2","532","505.2","864.2","290.3","2.00"
"2015년 01월","329.8","417","239.6","585.2","685.1","470.1","536.8","502.6","851.7","289.1","2.00"
"2015년 02월","338.6","423.6","239.9","589.2","685.3","472.4","539.4","509.4","869.2","288.7","2.00"
"2015년 03월","340.8","423","242.5","590.8","703.6","475.6","539.5","514.2","895.9","290.7","1.75"
"2015년 04월","339.2","427.7","243.5","601.2","720.4","475.6","544.4","522.7","918.3","292.8","1.75"
"2015년 05월","343.7","430.9","246.3","608.9","718","482.6","553.7","516.7","935.6","295.1","1.75"
"2015년 06월","344.9","431.4","246.2","599.6","700.6","478.3","561.6","529.3","929","294.4","1.5"
"2015년 07월","352.6","439.2","249.8","604.7","708.7","487.2","554.3","531.1","924.6","302.9","1.5"
"2015년 08월","341.2","426.2","244","595.2","728.1","491.6","554.8","534.3","905.5","302.9","1.5"
"2015년 09월","353.2","443.4","249.8","616.5","717.9","496.8","560.9","546.3","951.6","306.6","1.5"
"2015년 10월","356.5","452.8","253","644.6","739.1","508.8","578","560.8","964.5","309.8","1.5"
"2015년 11월","354.1","463","250.3","666.8","760.3","516","574.2","570.7","981.1","314.4","1.5"
"2015년 12월","328.4","435.1","241.2","627.6","733.1","514.2","556.2","555.8","917.7","303.8","1.5"
"2016년 01월","328.9","430.2","238.2","616","709.8","502.6","564.9","549","925.6","304.5","1.5"
"2016년 02월","334.7","435.1","240.4","614","702.2","501.1","545.8","556.7","939.6","306.1","1.5"
"2016년 03월","345.5","445.7","239.4","639.2","747.8","508.5","561.5","546.5","1011.8","308","1.5"
"2016년 04월","374","479.1","243.6","682.4","737.5","520.5","578.8","572.8","1039.7","314.2","1.5"
"2016년 05월","385.4","485.9","243.2","689.8","770.8","521.7","584.9","589.7","1034.4","322.7","1.5"
"2016년 06월","397.1","492","251.8","677.1","764.7","528.1","600.7","609.3","1002.8","332.3","1.25"
"2016년 07월","388.3","478.3","257.9","657.6","778","534.7","613","589.3","963.9","339.1","1.25"
"2016년 08월","388.3","485.4","260.9","687.3","791.7","541.6","633.4","603.5","1002.6","346.7","1.25"
"2016년 09월","393.7","491.8","267.2","692.4","785.1","548.5","639.4","607.2","1001.7","351","1.25"
"2016년 10월","388.7","490.4","271.6","688.5","788.7","558.2","654.6","610.4","989.2","353.6","1.25"
"2016년 11월","351.7","460.1","264.8","649.1","787.8","551.9","647.4","596","915","342.9","1.25"
"2016년 12월","346","458.1","260","666.6","783.4","546.5","632.6","584.1","981.8","344.5","1.25"
"2017년 01월","350","473.1","257.4","694.4","753.7","543.6","655.1","600.2","1065.7","341.3","1.25"
"2017년 02월","360.8","482.6","256.7","710.1","805.1","549.2","643.6","606.4","1073.5","345","1.25"
"2017년 03월","378.2","493.7","255.7","716.1","826.5","558.2","656.6","620.9","1050.4","343.1","1.25"
"2017년 04월","403.9","526.1","257.5","752.1","843.4","576.1","685.8","633.1","1077.3","354.5","1.25"
"2017년 05월","448.9","570.6","262.6","786.9","875.7","590.4","714.3","662.6","1094.9","357.2","1.25"
"2017년 06월","418.9","525","272.9","723.7","842.2","586.9","696.5","645.9","1076.3","363.6","1.25"
"2017년 07월","451.8","565.6","277.1","767.2","848.9","594.2","712.1","673.6","1139.9","356","1.25"
"2017년 08월","368.5","473.9","270.4","704.2","807.6","577.6","682.7","631.1","1069.8","353.2","1.25"
"2017년 09월","398","522.5","265.1","796.6","888.8","608.5","732.1","674.2","1186.5","351.7","1.25"
"2017년 10월","404.9","537.4","264.5","806.8","882.7","617.5","748","699.6","1169.7","347.8","1.25"
"2017년 11월","431.2","586","266.7","865.7","898.7","642.1","763.6","751.1","1249.5","355","1.25"
"2017년 12월","457.6","617.8","271.7","865.7","976","662.7","769","735.6","1221.1","366.8","1.5"
"2018년 01월","483.3","634.2","270.9","849.6","941.3","655.9","791.2","728.6","1225.7","369.8","1.5"
"2018년 02월","440.3","567.3","276.3","766.1","897.3","631.9","749.2","702.1","1167.8","364.6","1.5"
"2018년 03월","403.7","524.7","270.4","742.3","952.2","609.8","712.2","674.1","1219.6","358","1.5"
"2018년 04월","368.3","491.4","257.4","743.8","974.6","611.6","715.9","676","1204.4","338.2","1.5"
"2018년 05월","373.9","497.8","260.3","748.8","929.6","606.8","726.2","691.7","1231.9","341.6","1.5"
"2018년 06월","389.9","513.7","261.7","757.7","960.2","619.7","730.6","716.2","1218.8","341.2","1.5"
"2018년 07월","443","586.3","257.7","863.2","1058","656.9","794.6","773.5","1410.9","339.5","1.5"
"2018년 08월","529.9","652","272.7","881.6","1068.9","680.8","838.2","781.1","1401.7","344.6","1.5"
"2018년 09월","443","545.3","285.2","867.1","1036.1","703.9","814.6","740.3","1354.8","371.3","1.5"
"2018년 10월","364","468.9","271.4","821.3","947.4","700.2","785.5","733.3","1253.7","354.5","1.5"
"2018년 11월","341","454.8","264.2","829.3","1033.4","688.2","755","732.1","1282.6","350.2","1.5"
"2018년 12월","335.7","445.6","258.9","812.7","992.9","689.3","745.8","718.7","1273.4","343","1.75"
"2019년 01월","326.3","443.5","253.8","815.7","985.6","675.2","746","744.8","1287.2","348.1","1.75"
"2019년 02월","316.5","440.9","247.9","844.1","1122.7","695.5","802.7","734.9","1316.3","344.1","1.75"
"2019년 03월","333.1","461.7","250","889.1","1004.1","676.6","805.5","739.3","1470.2","347.7","1.75"
"2019년 04월","362","516.5","253.4","983.8","1136.9","722.1","817.3","816.7","1510.1","345","1.75"
"2019년 05월","411.7","597","259.8","1066.8","1124.4","744.7","907","875.8","1605.4","353.3","1.75"
"2019년 06월","477.4","681.6","268.4","1100.2","1209.6","784.8","963.4","935.9","1603","360.8","1.75"
"2019년 07월","499.1","697.8","272.9","1072.5","1269.8","811.5","994.5","904.2","1567.2","361.4","1.5"
"2019년 08월","455.1","636.8","278.6","1022.8","1207.9","818.8","989.5","879.1","1560.1","368.7","1.5"
"2019년 09월","472.8","663.5","281.8","1072.2","1271.8","796.9","986.5","887","1607.9","376.3","1.5"
"2019년 10월","501.7","686.6","297.5","1064","1229.5","826.4","1009.1","926.3","1552.2","403.3","1.25"
"2019년 11월","508.1","681.1","333.3","1058.9","1247.7","843.2","1048.4","943","1544.2","454.6","1.25"
"2019년 12월","474","625","315.2","1011.6","1231.9","821.9","1018.7","909.5","1533.3","411.8","1.25"
"2020년 01월","439.6","554.9","300.8","903.2","1188.2","787.4","931.4","864.7","1293.9","400.3","1.25"
"2020년 02월","442.4","540.9","295.1","934.7","1155.1","800.4","910.5","878.4","1463.8","398.8","1.25"
"2020년 03월","394.9","501","272.4","911.9","1111.3","791.3","901","845.8","1466.1","380.7","0.75"
"2020년 04월","369.5","489.6","268.5","949.4","1131.6","779.3","835.7","841.5","1619.3","379.1","0.75"
"2020년 05월","419.3","563.8","291.3","1051","1339.8","815.1","944.8","908.1","1667.2","398.7","0.5"
"2020년 06월","533.7","681.4","343.9","1118.2","1318.2","897.6","1066.5","995.8","1678","474","0.5"
"2020년 07월","516.9","700.3","331.2","1122.8","1333.7","954.7","1072.6","1039.2","1592","442.4","0.5"
"2020년 08월","472.9","667.9","321","1211.1","1460.7","1032.9","1140.4","1068.9","1679","439.6","0.5"
"2020년 09월","448","635.6","327.2","1215.4","1416.9","1038.6","1138.5","1048","1731.9","453.8","0.5"
"2020년 10월","453.6","619.3","355.1","1203.7","1439.5","1000.4","1133.4","1055.7","1767.6","469.8","0.5"
"2020년 11월","472.7","694.6","348.6","1293.1","1439","1070.5","1232.4","1119.7","1882.7","409.8","0.5"
"2020년 12월","492.2","723.2","304.5","1352.7","1493.6","1109.3","1260.9","1200.6","1957.5","350.6","0.5"
"2021년 01월","491.4","695.6","284.6","1333.6","1471.3","1122.1","1312.7","1194.4","1961","378.2","0.5"
"2021년 02월","460","647.9","286.2","1310","1527.9","1085.1","1204.9","1166.1","1970.9","390.4","0.5"
"2021년 03월","429.1","617.2","283","1281","1502.4","1114.4","1184.8","1143.7","1841.7","388.4","0.5"
"2021년 04월","446.9","662.1","292.4","1371.4","1497.5","1132.9","1183.2","1246.7","2006.3","414.1","0.5"
"2021년 05월","489.6","714.9","311.5","1338.6","1621.2","1160.9","1241.9","1154.3","1962.2","439.5","0.5"
"2021년 06월","490.5","745.8","306.4","1362.3","1574.8","1163","1270","1230","2059.5","431.8","0.5"
"2021년 07월","535.5","806.9","317.2","1404.4","1625.5","1176.7","1325.6","1238.3","2182","450.8","0.5"
"2021년 08월","527.3","812.6","328.7","1430.4","1607","1247.1","1374.6","1258.4","2111.1","457.7","0.75"
"2021년 09월","507.5","809.8","330.8","1493.9","1672.6","1288.6","1442.1","1251.3","2193.2","448.1","0.75"
"2021년 10월","461.1","788.7","316.2","1474.2","1637.8","1274.4","1399","1244.1","2166.3","415.9","0.75"
"2021년 11월","429.9","761.4","306.8","1402.7","1524","1238.2","1276.9","1147.7","2114.3","421","1.00"
"2021년 12월","421.2","763.3","298.4","1449.1","1666.4","1205.5","1347.4","1188.5","2054","395.3","1.00"
"2022년 01월","414.6","761.3","297.7","1418.3","1455","1236.4","1282","1168.2","2115","415.6","1.25"
"2022년 02월","394.3","710","290","1315.4","1669.2","1167.1","1232.9","1073.8","1873.7","407.9","1.25"
"2022년 03월","434.9","761.9","297.5","1418.4","1633.3","1211.7","1343.8","1154.8","2087.5","437.4","1.25"
"2022년 04월","452.4","787.3","304.2","1499","1620.7","1271","1353.4","1224.6","2283.5","422","1.5"
"2022년 05월","440","761.5","301.7","1441.9","1688.4","1213.5","1256.5","1194.8","2186.4","421","1.75"
